year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status,_id
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Afghanistan,27,0,Provisional,28662
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Africa and the Middle East,965,0,Provisional,28663
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Albania,1,0,Provisional,28664
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Algeria,4,0,Provisional,28665
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Antigua and Barbuda,1,0,Provisional,28666
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Argentina,53,0,Provisional,28667
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Asia,3935.006,0.431590105,Provisional,28668
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Australia,2038.03,0.117010621,Provisional,28669
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Austria,15,0,Provisional,28670
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bahrain,4,0,Provisional,28671
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bangladesh,19,0,Provisional,28672
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Belarus,9,0,Provisional,28673
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Belgium,29,0,Provisional,28674
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bermuda,9,0,Provisional,28675
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bolivia,2,0,Provisional,28676
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bosnia and Herzegovina,6,0,Provisional,28677
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Botswana,2,0,Provisional,28678
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Brazil,120.086,0.206901909,Provisional,28679
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Brunei Darussalam,6,0,Provisional,28680
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Cambodia,20,0,Provisional,28681
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Canada,245,0,Provisional,28682
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Cayman Islands,9,0,Provisional,28683
