year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status,_id
2018-06,2019-04,Long-term migrant,Arrivals,non-NZ,Student,Andorra,0.916,0.237296546,Provisional,1
2018-12,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,0.01,0.05,Provisional,2
2019-01,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,0.002,0.01,Provisional,3
2019-02,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,0.478,0.510278523,Provisional,4
2019-03,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,0.014,0.057688746,Provisional,5
2019-04,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,Andorra,0.074,0.224436776,Provisional,6
2018-09,2019-04,Long-term migrant,Arrivals,non-NZ,Work,Andorra,0.496,0.501771793,Provisional,7
2019-01,2019-04,Long-term migrant,Arrivals,non-NZ,Work,Andorra,0.268,0.435910879,Provisional,8
2018-11,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Andorra,0.03,0.131533119,Provisional,9
2019-02,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Andorra,0.032,0.146583124,Provisional,10
2019-03,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Andorra,0.018,0.077688746,Provisional,11
2019-04,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,Andorra,0.006,0.023844373,Provisional,12
2018-11,2019-04,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Andorra,0.068,0.216243234,Provisional,13
2018-12,2019-04,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Andorra,0.132,0.35128453,Provisional,14
2019-01,2019-04,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Andorra,0.012,0.053844373,Provisional,15
2019-02,2019-04,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Andorra,0.012,0.06,Provisional,16
2019-03,2019-04,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Andorra,0.002,0.01,Provisional,17
2019-04,2019-04,Long-term migrant,Arrivals,NZ,NZ and Australian citizens,Andorra,0.206,0.408365267,Provisional,18
2017-12,2019-04,Long-term migrant,Arrivals,non-NZ,Other,United Arab Emirates,1,0,Final,19
2018-12,2019-04,Long-term migrant,Arrivals,non-NZ,Other,United Arab Emirates,0.358,0.425748566,Provisional,20
2019-01,2019-04,Long-term migrant,Arrivals,non-NZ,Other,United Arab Emirates,0.338,0.46844905,Provisional,21
2019-04,2019-04,Long-term migrant,Arrivals,non-NZ,Other,United Arab Emirates,0.152,0.35066889,Provisional,22
2017-12,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,7,0,Final,23
2018-01,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,50,0,Provisional,24
2018-02,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,11.966,0.124699367,Provisional,25
2018-03,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,10.406,0.825138185,Provisional,26
2018-04,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,0.974,0.573951227,Provisional,27
2018-05,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,10.526,0.594331423,Provisional,28
2018-06,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,8.072,0.854809059,Provisional,29
2018-07,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,24.78,1.855431193,Provisional,30
2018-08,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,10.482,1.060040948,Provisional,31
2018-09,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,20.234,1.490359692,Provisional,32
2018-10,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,16.116,1.671879632,Provisional,33
2018-11,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,10.168,1.360938595,Provisional,34
2018-12,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,16.02,1.65312206,Provisional,35
2019-01,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,12.598,1.864239764,Provisional,36
2019-02,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,14.762,2.097086575,Provisional,37
2019-03,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,8.134,1.699380364,Provisional,38
2019-04,2019-04,Long-term migrant,Arrivals,non-NZ,Resident,United Arab Emirates,13.358,2.399183559,Provisional,39
2017-12,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,11,0,Final,40
2018-01,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,21,0,Provisional,41
2018-02,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,25,0,Provisional,42
2018-03,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,12,0,Provisional,43
2018-04,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,10,0,Provisional,44
2018-05,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,12.168,0.795940896,Provisional,45
2018-06,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,7.564,0.604163637,Provisional,46
2018-07,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,18.154,1.274948792,Provisional,47
2018-08,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,9.616,1.238240804,Provisional,48
2018-09,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,8.682,1.270662709,Provisional,49
2018-10,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,10.448,1.411611417,Provisional,50
2018-11,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,11.754,1.507292424,Provisional,51
2018-12,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,2.162,0.933782633,Provisional,52
2019-01,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,13.728,2.298949003,Provisional,53
2019-02,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,26.944,2.631064205,Provisional,54
2019-03,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,15.538,2.094673213,Provisional,55
2019-04,2019-04,Long-term migrant,Arrivals,non-NZ,Student,United Arab Emirates,6.086,1.347569674,Provisional,56
2017-12,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,15,0,Final,57
2018-01,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,14,0,Provisional,58
2018-02,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,16,0,Provisional,59
2018-03,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,21.616,0.558862636,Provisional,60
2018-04,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,16.124,0.62005013,Provisional,61
2018-05,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,28.77,0.997260187,Provisional,62
2018-06,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,26.418,1.64790362,Provisional,63
2018-07,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,16.496,1.848310536,Provisional,64
2018-08,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,15.014,1.580676949,Provisional,65
2018-09,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,21.676,1.988641153,Provisional,66
2018-10,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,14.986,1.715628557,Provisional,67
2018-11,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,11.618,1.965251331,Provisional,68
2018-12,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,13.168,2.150119129,Provisional,69
2019-01,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,16.214,3.020475754,Provisional,70
2019-02,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,11.092,2.31232532,Provisional,71
2019-03,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,8.324,2.452670792,Provisional,72
2019-04,2019-04,Long-term migrant,Arrivals,non-NZ,Visitor,United Arab Emirates,4.8,1.846060962,Provisional,73
2017-12,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,20,0,Final,74
2018-01,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,33,0,Provisional,75
2018-02,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,25,0,Provisional,76
2018-03,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,27,0,Provisional,77
2018-04,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,27.13,0.671659129,Provisional,78
2018-05,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,33.02,1.407761535,Provisional,79
2018-06,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,26.766,1.389333029,Provisional,80
2018-07,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,32.526,2.333777368,Provisional,81
2018-08,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,36.766,2.537459671,Provisional,82
2018-09,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,26.402,2.242313826,Provisional,83
2018-10,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,26.046,2.372700253,Provisional,84
2018-11,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,30.002,2.739955757,Provisional,85
2018-12,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,15.834,2.142928335,Provisional,86
2019-01,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,31.718,3.456143151,Provisional,87
2019-02,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,28.844,3.234797094,Provisional,88
2019-03,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,18.048,2.78380204,Provisional,89
2019-04,2019-04,Long-term migrant,Arrivals,non-NZ,Work,United Arab Emirates,19.196,3.303717235,Provisional,90
2017-12,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,3,0,Final,91
2018-01,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,2,0,Provisional,92
2018-03,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,2.35,0.40944291,Provisional,93
2018-04,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,1,0,Provisional,94
2018-05,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.242,0.381170877,Provisional,95
2018-06,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.802,0.38587416,Provisional,96
2018-07,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.72,0.457892286,Provisional,97
2018-08,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.388,0.589313695,Provisional,98
2018-09,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.352,0.514195949,Provisional,99
2018-10,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,2.222,0.987547275,Provisional,100
2018-11,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.966,0.735852866,Provisional,101
2018-12,2019-04,Long-term migrant,Arrivals,non-NZ,NZ and Australian citizens,United Arab Emirates,0.538,0.547583094,Provisional,102
